Project Name,Task Number,Task Name,Status,Priority,Assigned To,Start Date,End Date,Estimated Hours,Milestone,Description,Subtask Number,Subtask Name,Subtask Hours,Subtask Sequence
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.1,Create non-root admin user (asi360admin),0.5,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.2,Disable root SSH login,0.25,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.3,Install and configure fail2ban,0.75,3
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.4,Change SSH port to 2849,0.5,4
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.5,Setup key-only authentication,1,5
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.6,Repeat for Droplet 2 and 3,2,6
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-001,SSH Security Hardening - All Droplets,Open,High,David Bucknor,2025-01-13,2025-01-14,8,Phase 1: Security Foundation,"Harden SSH access on all 3 droplets (aseagi-production, client1-production, ch16-evidence). Disable root login, implement fail2ban, change ports, key-only auth.",1.1.7,Documentation and testing,1,7
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.1,Install Python keyring library,0.5,1
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.2,Generate master encryption key,0.5,2
ASI 360 Multi-Tenant Cloud Infrastructure,ASI360-002,Credential Encryption System,Open,High,David Bucknor,2025-01-15,2025-01-17,12,Phase 1: Security Foundation,"Implement secrets management using Python keyring. Encrypt all API keys (Vast.ai, Supabase, Anthropic, Telegram, Google Drive). Establish key rotation schedule.",1.2.3,Create secrets_manager.py module,2,3
